Match type,Repository,Repository external URL,File path,File URL,Path matches [path [start end]],Chunk matches [line [start end]]
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_instr_wrong_args_len.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_instr_wrong_args_len.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_trunc_error3.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_trunc_error3.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_enforce_constraint_wrong_type1.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_enforce_constraint_wrong_type1.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_instr_wrong_occurrence.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_instr_wrong_occurrence.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_greatest_error_2.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_greatest_error_2.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_exception_in_vertex_udf_wrong_type1.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_exception_in_vertex_udf_wrong_type1.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_exception_in_vertex_udf_wrong_type2.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_exception_in_vertex_udf_wrong_type2.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_greatest_error_1.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_greatest_error_1.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_map_values_arg_num.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_map_values_arg_num.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_map_keys_arg_num.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_map_keys_arg_num.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_size_wrong_args_len.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_size_wrong_args_len.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_locate_wrong_args_len.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_locate_wrong_args_len.q.out,,"[0, [[27, 37]]]"
